VALOR;VIGENCIADESDE;VIGENCIAHASTA
2,841.25;23/08/2003;25/08/2003
2,843.66;26/08/2003;26/08/2003
2,848.86;27/08/2003;27/08/2003
2,850.89;28/08/2003;28/08/2003
2,846.26;29/08/2003;29/08/2003
2,832.94;30/08/2003;02/09/2003
2,841.02;03/09/2003;03/09/2003
2,826.46;04/09/2003;04/09/2003
2,816.74;05/09/2003;05/09/2003
2,820.46;06/09/2003;08/09/2003
2,822.85;09/09/2003;09/09/2003
2,820.20;10/09/2003;10/09/2003
2,825.28;11/09/2003;11/09/2003
2,829.82;12/09/2003;12/09/2003
2,824.88;13/09/2003;15/09/2003
2,824.53;16/09/2003;16/09/2003
2,823.79;17/09/2003;17/09/2003
2,823.28;18/09/2003;18/09/2003
2,833.64;19/09/2003;19/09/2003
2,844.64;20/09/2003;22/09/2003
2,859.37;23/09/2003;23/09/2003
2,866.42;24/09/2003;24/09/2003
2,872.30;25/09/2003;25/09/2003
2,871.39;26/09/2003;26/09/2003
2,879.32;27/09/2003;29/09/2003
2,889.39;30/09/2003;30/09/2003
2,888.21;01/10/2003;01/10/2003
2,907.41;02/10/2003;02/10/2003
2,868.91;08/10/2003;08/10/2003
2,887.59;09/10/2003;09/10/2003
1,793.47;12/08/2011;12/08/2011
1,783.35;13/08/2011;16/08/2011
1,776.66;17/08/2011;17/08/2011
1,767.29;18/08/2011;18/08/2011
1,775.84;19/08/2011;19/08/2011
1,779.05;20/08/2011;22/08/2011
1,779.86;23/08/2011;23/08/2011
1,781.91;24/08/2011;24/08/2011
1,791.61;25/08/2011;25/08/2011
1,791.05;26/08/2011;26/08/2011
1,794.02;27/08/2011;29/08/2011
1,787.52;30/08/2011;30/08/2011
1,783.66;31/08/2011;31/08/2011
1,780.26;01/09/2011;01/09/2011
1,778.51;02/09/2011;02/09/2011
1,782.80;03/09/2011;06/09/2011
1,791.89;07/09/2011;07/09/2011
1,789.30;08/09/2011;08/09/2011
1,789.90;09/09/2011;09/09/2011
1,796.58;10/09/2011;12/09/2011
1,811.34;13/09/2011;13/09/2011
1,813.42;14/09/2011;14/09/2011
1,824.15;15/09/2011;15/09/2011
1,822.04;16/09/2011;16/09/2011
1,820.29;17/09/2011;19/09/2011
1,843.26;20/09/2011;20/09/2011
1,854.96;21/09/2011;21/09/2011
1,882.23;22/09/2011;22/09/2011
1,915.63;23/09/2011;23/09/2011
1,902.45;24/09/2011;26/09/2011
1,903.31;27/09/2011;27/09/2011
1,887.38;28/09/2011;28/09/2011
1,907.75;29/09/2011;29/09/2011
1,915.10;30/09/2011;30/09/2011
1,929.01;01/10/2011;03/10/2011
1,943.80;04/10/2011;04/10/2011
1,972.76;05/10/2011;05/10/2011
1,967.56;06/10/2011;06/10/2011
1,952.09;07/10/2011;07/10/2011
1,931.64;08/10/2011;11/10/2011
1,913.60;12/10/2011;12/10/2011
1,896.72;13/10/2011;13/10/2011
1,909.12;14/10/2011;14/10/2011
1,895.33;15/10/2011;18/10/2011
1,902.47;19/10/2011;19/10/2011
1,900.10;20/10/2011;20/10/2011
1,905.95;21/10/2011;21/10/2011
1,897.45;22/10/2011;24/10/2011
1,878.78;25/10/2011;25/10/2011
1,875.55;26/10/2011;26/10/2011
1,878.10;27/10/2011;27/10/2011
1,862.84;28/10/2011;28/10/2011
1,863.06;29/10/2011;31/10/2011
1,871.49;01/11/2011;01/11/2011
1,891.38;02/11/2011;02/11/2011
1,889.66;03/11/2011;03/11/2011
1,905.38;04/11/2011;04/11/2011
1,786.77;13/10/2010;13/10/2010
1,791.56;14/10/2010;14/10/2010
1,801.20;15/10/2010;15/10/2010
1,807.88;16/10/2010;19/10/2010
1,817.45;20/10/2010;20/10/2010
1,812.60;21/10/2010;21/10/2010
1,816.28;22/10/2010;22/10/2010
1,823.05;23/10/2010;25/10/2010
1,830.96;26/10/2010;26/10/2010
1,838.45;27/10/2010;27/10/2010
1,846.41;28/10/2010;28/10/2010
1,839.90;29/10/2010;29/10/2010
1,831.64;30/10/2010;02/11/2010
