Fecha;Empresa;Moneda;Ingreso
04/09/2017;Empesa B;EURO;-0.0235742909766367
04/10/2017;Empesa B;EURO;-0.0108712960716576
04/11/2017;Empesa B;EURO;0.000177094103981102
04/12/2017;Empesa B;EURO;0.00330599415084156
05/01/2017;Empesa B;EURO;-0.02778391900719
05/02/2017;Empesa B;EURO;0.000673345121761818
05/03/2017;Empesa B;EURO;0.000488689066963101
05/04/2017;Empesa B;EURO;0.016025551203265
05/05/2017;Empesa B;EURO;0.031633589610967
05/06/2017;Empesa B;EURO;-0.00959003040691696
05/07/2017;Empesa B;EURO;0.00178603494214916
05/08/2017;Empesa B;EURO;0.000108257500695466
05/09/2017;Empesa B;EURO;0.0206083939514638
05/10/2017;Empesa B;EURO;0.00773752188054257
05/11/2017;Empesa B;EURO;0.000177111261025785
05/12/2017;Empesa B;EURO;0.0039761109132829
06/01/2017;Empesa B;EURO;-0.0906470755880738
06/02/2017;Empesa B;EURO;0.0783269682135981
06/03/2017;Empesa B;EURO;-0.0728861385100274
06/04/2017;Empesa B;EURO;-0.00864656827809136
06/05/2017;Empesa B;EURO;0.000168567646830245
06/06/2017;Empesa B;EURO;-0.0301238049692772
06/07/2017;Empesa B;EURO;-0.0371168233725931
06/08/2017;Empesa B;EURO;0.000108240648769436
06/09/2017;Empesa B;EURO;-0.0379734908540499
06/10/2017;Empesa B;EURO;0.00726571465448561
06/11/2017;Empesa B;EURO;0.000177098564858201
06/12/2017;Empesa B;EURO;-0.00969214282310482
07/01/2017;Empesa B;EURO;0.000362697137313937
07/02/2017;Empesa B;EURO;0.0709925044181955
07/03/2017;Empesa B;EURO;0.0104636277430987
07/04/2017;Empesa B;EURO;0.00464199726901617
07/05/2017;Empesa B;EURO;0.00016859775346721
07/06/2017;Empesa B;EURO;0.0151422212323434
07/07/2017;Empesa B;EURO;-0.0359919247505027
07/08/2017;Empesa B;EURO;0.000108257500723795
07/09/2017;Empesa B;EURO;0.0142166697842478
07/10/2017;Empesa B;EURO;0.000143574102364583
07/11/2017;Empesa B;EURO;0.0427967853140656
07/12/2017;Empesa B;EURO;0.039248899590848
08/01/2017;Empesa B;EURO;0.000362640474642712
08/02/2017;Empesa B;EURO;0.106309867979256
08/03/2017;Empesa B;EURO;0.0207362513884869
08/04/2017;Empesa B;EURO;0.000121095954844779
08/05/2017;Empesa B;EURO;0.0113007037151188
08/06/2017;Empesa B;EURO;-0.00356736420093504
08/07/2017;Empesa B;EURO;0.000166301260873091
08/08/2017;Empesa B;EURO;0.0317674570201201
08/09/2017;Empesa B;EURO;-0.0168157568219806
08/10/2017;Empesa B;EURO;0.000144451696943737
08/11/2017;Empesa B;EURO;-0.0491859420339113
08/12/2017;Empesa B;EURO;0.000106889528387228
09/01/2017;Empesa B;EURO;0.000362640474707417
09/02/2017;Empesa B;EURO;-0.0384830514967857
09/03/2017;Empesa B;EURO;-0.0177400740867373
09/04/2017;Empesa B;EURO;0.000121142991533396
09/05/2017;Empesa B;EURO;0.0375114015577955
09/06/2017;Empesa B;EURO;0.00214252558731992
09/07/2017;Empesa B;EURO;0.000166330177844976
09/08/2017;Empesa B;EURO;-0.0089220587049752
09/09/2017;Empesa B;EURO;-9.89072968690397e-05
09/10/2017;Empesa B;EURO;-0.0142401420912535
09/11/2017;Empesa B;EURO;-0.0494770503486027
09/12/2017;Empesa B;EURO;0.000106855589816538
10/01/2017;Empesa B;EURO;0.00764839068696415
10/02/2017;Empesa B;EURO;0.193490230697119
10/03/2017;Empesa B;EURO;0.00710611864808006
10/04/2017;Empesa B;EURO;0.0485744993148477
10/05/2017;Empesa B;EURO;0.00582499402674171
10/06/2017;Empesa B;EURO;0.000170196850853894
10/07/2017;Empesa B;EURO;0.0450205127378467
10/08/2017;Empesa B;EURO;-0.0252359135210159
10/09/2017;Empesa B;EURO;0.000370471973500207
10/10/2017;Empesa B;EURO;-0.0115330548844447
10/11/2017;Empesa B;EURO;-0.0501868007306373
10/12/2017;Empesa B;EURO;0.000106889528387228
11/01/2017;Empesa B;EURO;0.110196330189268
11/02/2017;Empesa B;EURO;0.000634603452334003
11/03/2017;Empesa B;EURO;0.000243428248007421
11/04/2017;Empesa B;EURO;-0.000444256095346928
11/05/2017;Empesa B;EURO;-0.0148394519310604
11/06/2017;Empesa B;EURO;0.00017022637830882
11/07/2017;Empesa B;EURO;-0.00868406393271724
11/08/2017;Empesa B;EURO;-0.0863603576179169
11/09/2017;Empesa B;EURO;0.0844415311725991
11/10/2017;Empesa B;EURO;-0.00429360928540919
11/11/2017;Empesa B;EURO;0.000188625362090475
11/12/2017;Empesa B;EURO;0.0283776693463419
12/01/2017;Empesa B;EURO;-0.252259803104641
12/02/2017;Empesa B;EURO;0.000634829249387117
12/03/2017;Empesa B;EURO;0.000243428248039052
12/04/2017;Empesa B;EURO;0.0218429915250384
12/05/2017;Empesa B;EURO;-0.00132529622415683
12/06/2017;Empesa B;EURO;-0.0396091547930021
12/07/2017;Empesa B;EURO;0.00654772533565375
12/08/2017;Empesa B;EURO;0.000112197196188312
12/09/2017;Empesa B;EURO;0.0503771992012033
12/10/2017;Empesa B;EURO;0.000187776083251303
12/11/2017;Empesa B;EURO;0.000188978373860814
12/12/2017;Empesa B;EURO;0.0213693657700449
13/01/2017;Empesa B;EURO;0.14105407134473
13/02/2017;Empesa B;EURO;0.0915805932240795
